Consumer_Defensive       OTLY           : 1636.00%  燕麦奶, 奶制品, 植物奶, 瑞典
Healthcare               NVO.*          :   5.73%  丹麦, 诺和诺德, 减肥药, Wegovy, 司美格鲁肽, Ozempic, 欧洲
Energy                   EC.++          :   5.66%  石油, 天然气, 哥伦比亚, 南美洲
Technology               GTLB           :   5.47%  代码托管协作平台, 开源项目, AI
Consumer_Cyclical        EAT            :   5.45%  布林克国际, 连锁餐厅, 餐饮, Chili's Grill & Bar, 食品
Financial_Services       UPST.*         :   5.42%  借贷, 贷款, 在线贷款, 人工智能, AI, 信用评估, 美国, meme
Technology               WDC.*.++       :   5.32%  西部数据, 硬盘HDD, 固态硬盘SSD, 数据中心, 存储
Financial_Services       NWG            :   5.26%  英国, 银行
Industrials              HII.+          :   5.23%  核动力航空母舰, 国防, 工业, 军事, 宙斯盾驱逐舰, 政府服务, 美国
Technology               DELL.*.+       :   5.21%  戴尔, AI, AI服务器, 服务器, 数据中心, 电脑, PC
Financial_Services       BCS.*.+        :   5.17%  巴克莱, 英国, 银行
Consumer_Cyclical        LCID.*.++      :   5.14%  电动汽车, 亚马逊合作, 美国, 汽车, meme
Consumer_Cyclical        MBLY.++        :   5.12%  自动驾驶, 无人驾驶, 以色列, meme
Technology               ZETA.*.++      :   5.11%  云营销平台, 数据驱动, DMP, CRM, 云计算
Consumer_Defensive       EL             :   5.10%  雅诗兰黛, 倩碧, 化妆, 护肤
Consumer_Cyclical        COLM.++        :   5.05%  哥伦比亚, 运动服装, 美国, 服装, 鞋
Healthcare               CRSP.*.++      :   5.03%  CRISPR, Cas9, 基因编辑, 生物科技, AI医疗
Technology               EEFT.++        :   5.01%  电子支付, ATM, POS, 汇款
Healthcare               LEGN.++        :   4.94%  传奇生物, CAR-T细胞疗法, 中国
Consumer_Cyclical        XPEV.*.+       :   4.92%  小鹏, 电动汽车, 中国, 汽车
Industrials              FTAI.+         :   4.92%  飞机, 租赁, 发动机, 出租, 飞机租赁
Consumer_Cyclical        DRI            :   4.82%  达登饭店, 红龙虾餐厅, 快餐, 餐饮, 美国, 牛排, 海鲜
Consumer_Cyclical        LNW            :   4.76%  手机电脑游戏, 博彩游戏, 赌场游戏, 游戏
Basic_Materials          CLF.*.++       :   4.70%  克利夫兰, 电气钢, 钢铁, 铁矿石, 美国, 金属
Technology               LRCX.*         :   4.63%  拉姆研究, Lam, 半导体, 刻蚀, 沉积, 清洗
Technology               PLTR.*.++      :   4.58%  AI, 大数据分析, AI工具, 政府服务, 政府承包商, 反恐情报, SaaS, 企业软件
Consumer_Cyclical        SKX            :   4.48%  斯凯奇, 鞋, 服装
Industrials              GXO.+          :   4.47%  仓储配送, 物流, 供应链管理
Industrials              DE.+           :   4.44%  迪尔, 农业设备, 建筑设备, 工程机械
Technology               LSCC.++        :   4.38%  传统半导体, FPGA, 可编程逻辑电路
Healthcare               LNTH.20        :   4.34%  医学影像诊断试剂, 影像诊断, 试剂, 医疗
Technology               LYFT.*         :   4.32%  网约车, 共享出行, 出租车, 共享租车, 美国
Energy                   TBN            :   4.31%  天然气, 勘探生产, 能源, 澳大利亚
Technology               SOUN.*         :   4.28%  语音, AI, 语音对话, 语音助手, Houndify, 人工智能, 企业软件, 赋能医疗行业的对话式人工智能
Basic_Materials          ICL            :   4.25%  以色列化学, 农业增强技术, 农业, 化学品
Technology               GDS.*.++       :   4.16%  万国数据服务, 数据中心, 服务器托管, 云服务
Consumer_Cyclical        BROS           :   4.15%  荷兰兄弟咖啡, 特许经营, 咖啡, 连锁, 免下车咖啡店
Consumer_Defensive       DLTR           :   4.14%  美元树, 低价折扣, 零售, 连锁, 商店
Technology               PANW.*         :   4.12%  网络安全, 防火墙, 云安全
Technology               ALGM.++        :   4.04%  磁性传感器, 模拟电源集成电路, 传统半导体
Real_Estate              HST.19.*       :   4.03%  高端酒店度假村房地产投资信托, 万豪希尔顿凯悦
Utilities                NRG.++         :   4.01%  电力, 发电, 天然气发电, 煤炭发电, 风电, 核电
Technology               ZBRA           :   4.00%  条码打印机, RFID标签, 扫描仪
Financial_Services       MUFG.++        :   3.98%  三菱日联金融集团, 银行, 金融服务, 信托
Consumer_Defensive       STZ.*          :   3.95%  星座品牌, 酒精饮料, 啤酒, 葡萄酒, 烈酒, Modelo, 科罗娜, Corona
Healthcare               TMDX.++        :   3.93%  器官移植, OCS近生理条件器官保存运输
Technology               ACLS           :   3.93%  半导体, 离子注入机, 单晶圆工具
Technology               ANET.18.*      :   3.92%  数据中心, 以太网交换机, 云服务, AI, AI网络
Industrials              AXON.+         :   3.89%  个人安全防卫, 电击武器, 摄像头, 安全, 执法设备, 警用装备
Industrials              EXPD.18.++     :   3.85%  物流, 货运, 海运, 空运
Industrials              CNH.*.+        :   3.83%  依维柯Iveco, 农业机械, 机械, 建筑设备
Financial_Services       SOFI.*.++      :   3.82%  金融科技, 学生贷款, 信用卡, meme
Basic_Materials          FMC            :   3.80%  化学品, 杀虫剂, 除草剂, 农业解决方案, 美国
Technology               MCHP.*.++      :   3.77%  传统半导体, 单片机, 电子设备, 模拟芯片
Utilities                ORA.+          :   3.72%  地热发电, 可再生能源, 能源, 发电, 地热, 地热能
Financial_Services       DB.+           :   3.66%  德意志银行
Utilities                TLN.++         :   3.66%  发电, 电力, 核电
Consumer_Defensive       MNST.*         :   3.65%  能量饮料, "爪痕"标志
Communication_Services   TTWO           :   3.65%  电子游戏, 游戏, 侠盗猎车, 荒野大镖客, Grand Theft Auto
Utilities                AES.*          :   3.63%  爱依斯, 电力, 太阳能, 发电, 公共事业, 能源
Technology               FOUR.18.++     :   3.61%  支付, POS终端, 支付解决方案, 金融, 创始人是NASA局长
Industrials              SAIA.++        :   3.58%  货运, 物流, 运输, LTL
Industrials              AGCO.+         :   3.55%  农业机械, 拖拉机, 收割机
Financial_Services       SLM.++         :   3.53%  学贷美, 教育金融, 学生贷款, 贷款, 美国
Financial_Services       WAL.++         :   3.52%  阿莱恩斯西部银行, 银行, 区域性银行, 住房抵押贷款, 美国
Technology               TOST.19.*.++   :   3.51%  云计算, 赋能餐饮
Basic_Materials          ASH            :   3.48%  化学品, 化工, 添加剂, 药物配方, 食品配方, 个人护理
Consumer_Cyclical        PDD.*.++       :   3.46%  拼多多, 在线零售, 低价, 低价折扣, 电子商务, 中国
Basic_Materials          TX.18.+        :   3.46%  拉丁美洲, 钢铁
Basic_Materials          NUE.++         :   3.45%  纽柯钢铁, 钢铁制造, 钢铁回收, 钢铁, 金属
Energy                   LB.+           :   3.43%  石油, 天然气, 二叠纪盆地, 美国
Consumer_Defensive       DG             :   3.40%  达乐, 折扣连锁, 折扣零售, 低价, 零售, 美国
Technology               IOT.++         :   3.39%  物联网, 工业, 美国, 自动驾驶, 云计算, 传感器
Consumer_Cyclical        TXRH.20.++     :   3.37%  美式牛排, 连锁, 餐厅, 餐饮, 食品
Technology               SITM.++        :   3.36%  精密定时, MEMS振荡器, 传统半导体, 微电机, 精确计时, 时钟解决方案
Utilities                BIPC           :   3.34%  能源基础设施, 公用事业, 基础设施, 资产管理, 天然气
Consumer_Cyclical        GAP.*          :   3.34%  休闲服装, 服装, 服饰, Old Navy
Industrials              CWST.++        :   3.28%  废物处理, 废物回收, 废物管理
Technology               LITE           :   3.27%  光通信, 工业, 激光, 3D传感
Financial_Services       HSBC.18        :   3.25%  汇丰, 银行
Financial_Services       CG.++          :   3.25%  凯雷, 私募股权投资, 信贷, 贷款
Technology               ORCL.*.++      :   3.24%  甲骨文, 数据库, 云服务, Java, 美国
Consumer_Defensive       HSY            :   3.24%  赫尔希, 好时巧克力, 巧克力, 零食
Technology               FRSH           :   3.23%  SaaS, Freshdesk, 客户关系管理, IT, CRM, 软件平台
Technology               INFA.*         :   3.19%  企业数据管理软件提供商, 云数据平台, 企业软件
Basic_Materials          NEU            :   3.15%  化学品, 石油添加剂
Energy                   PBF            :   3.15%  石油精炼, 管道储存销售供应
Healthcare               STVN.+         :   3.12%  意大利, 药瓶, 药筒, 注射器, 药盒, 耗材, 医疗耗材
Consumer_Cyclical        NCLH.*.++      :   3.11%  挪威, 游轮, 邮轮, 利率敏感
Consumer_Cyclical        SW             :   3.08%  爱尔兰, 包装, 瓦楞纸板, 纸业, 纸
Energy                   PBR.*.++       :   3.07%  巴西, 国有石油公司, 石油
Technology               MDB            :   3.07%  MongoDB, 数据库
Financial_Services       KB             :   3.07%  韩国, 国民银行
Energy                   CHX            :   3.06%  石油, 天然气, 油田化学品, 人工升举系统, 钻井技术
Financial_Services       SMFG.++        :   3.04%  三井住友, 金融, 日本
Real_Estate              HR.19          :   3.03%  门诊医疗, 房地产物业, 美国
Technology               WEX            :   3.03%  信用卡, 支付, 企业支付, 金融科技
Technology               SATS.++        :   3.01%  卫星, 卫星电视, 机顶盒, 美国
Financial_Services       BGC            :   3.00%  金融产品, 金融经纪, 场外交易, OTC, 电子交易平台, 房地产经纪, 美国
Technology               WDAY           :   2.97%  云计算, 财务人力资源管理
Healthcare               IONS.19.+      :   2.93%  生物制药, 反义技术
Consumer_Cyclical        RIVN.20.*.++   :   2.92%  电动汽车, meme, 美国, 模因, 亚马逊投资
Basic_Materials          ALB.++         :   2.92%  雅宝, 锂, 溴, 特种化学品
Real_Estate              WPC            :   2.90%  房地产, 投资信托
Basic_Materials          KNF.++         :   2.89%  房地产, 建筑材料, 承包服务, 美国
Healthcare               HLN.*          :   2.88%  葛兰素史克分拆, Sensodyne舒适达, Panadol, 扶他林, 善存
Industrials              GTES.+         :   2.87%  动力传输, 液压, 流体动力, 传动带, 工业, 机械, 机械设备
Industrials              HXL.+          :   2.86%  高性能复合材料, 碳纤维, 蜂窝芯, 赫氏
Healthcare               APLS           :   2.85%  生物制药, C3免疫调节疗法
Healthcare               XRAY           :   2.84%  登士柏, 牙科, 牙科产品, 口腔健康, 正畸, 种植牙, 牙科设备, 牙科诊断, 牙齿修复, 美国
Energy                   PAA.++         :   2.83%  石油天然气中游业务, 锂电池PAA粘结剂, 石油, 天然气, 化工材料
Utilities                POR            :   2.81%  天然气, 发电, 配电
Energy                   TPL.19.++      :   2.80%  土地信托, 水资源, 石油, 天然气
Energy                   HESM.++        :   2.78%  中游能源, 天然气原油收集运输储存, 天然气, 能源
Technology               QTWO           :   2.78%  数字银行平台, 赋能银行, 在线银行, 移动银行, 金融数字化
Industrials              SYM            :   2.77%  自动化仓储机器人, 人工智能, 机器人, 自动化, 用于沃尔玛
Technology               SNOW.*         :   2.76%  云数据仓库, 数据管理, 数据分析
Industrials              R.+            :   2.75%  运输, 物流, 供应链, 车队管理
Financial_Services       NTRS           :   2.74%  北方信托, 资产托管, 私人银行, 银行, 资产管理, 信托
Technology               QLYS.++        :   2.74%  云安全, IT合规解决方案
Consumer_Cyclical        SE.*.++        :   2.72%  东南亚, 游戏, Garena, 电商, Shopee, 电子商务
Basic_Materials          CE.18.+        :   2.72%  赛莱默, 化工, 材料, 化学品, 汽车行业, 原材料
Basic_Materials          DOW.*.++       :   2.72%  陶氏化学, 材料
Technology               CWAN.19        :   2.71%  投资数据分析报告, 风险评估, 云计算, 企业软件, Saas
Communication_Services   CMCSA.*.++     :   2.71%  康卡斯特, 有线电视, 互联网提供商, 流媒体
Communication_Services   WBD.*.++       :   2.71%  华纳兄弟, 探索频道, Discovery+, HBO
Technology               ENPH.++        :   2.71%  太阳能, 微型逆变器, 储能, 利率敏感
Consumer_Cyclical        WYNN.*.++      :   2.69%  永利, 赌场, 酒店, 度假村, 澳门, 博彩
Consumer_Cyclical        PVH.+          :   2.69%  服装, Calvin Klein, Tommy Hilfiger, CK, 内裤, 内衣
Healthcare               RARE           :   2.66%  生物制药, 罕见遗传病, Crysvita, Mepsevii
Healthcare               TAK            :   2.66%  日本武田制药, 肿瘤, 消化, 神经系统, 药品, 制药
Technology               ZI.*.+         :   2.64%  云计算, 数据分析
Utilities                CEG.+          :   2.62%  星座能源, 核电, 氢能, 发电, 电力, 可再生, 能源行业
Technology               ADI.19.*.++    :   2.61%  传统半导体, 集成电路, 模拟信号处理
Financial_Services       VIRT           :   2.61%  金融技术, 高频交易, 做市商服务
Industrials              HON            :   2.61%  霍尼韦尔, 航空航天, 楼宇技术, 工业自动化, 特种材料, 化学品
Technology               UBER.*         :   2.61%  网约车, 出租车, 外卖递送, 拼车
Industrials              TTC.++         :   2.59%  割草机, 草坪维护设备
Healthcare               INSM.20.+      :   2.58%  生物制药, 肺部呼吸系统疾病
Healthcare               SEM.20         :   2.57%  急性护理医院, 康复医院, 门诊康复诊所, 职业健康服务, 医院
Energy                   TGS.20         :   2.57%  阿根廷, 天然气, 天然气管道, 天然气运输, 能源
Energy                   WES.++         :   2.56%  天然气处理, 天然气液体NGL分离, 天然气, NGL
Consumer_Cyclical        ONON           :   2.56%  瑞士, 鞋, 服装, 体育, 运动鞋
Consumer_Cyclical        ALV.++         :   2.54%  瑞典, 汽车, 汽车零部件, 安全气囊, 安全带
Consumer_Defensive       KDP.*          :   2.53%  饮料, DrPepper, 7UP, 咖啡机, K-Cup胶囊, 第三大, 运动饮料, 美国
Industrials              PAC            :   2.52%  墨西哥, 机场运营管理, 太平洋机场, 机场运营
Industrials              JBHT.++        :   2.52%  运输, 物流, 卡车运输, 货运
Energy                   FTI.+          :   2.50%  石油, 海底技术, 天然气, 能源, 设备
Consumer_Cyclical        VFC.*.++       :   2.50%  威富, 服装, 鞋, North Face, 北面, 美国
Technology               VNT.++         :   2.50%  加油站管理系统, 运油车辆检测
Basic_Materials          OLN            :   2.49%  化学品, 氯碱, 弹药, 枪支, 美国, 军火, 军工, 国防
Financial_Services       WTM            :   2.49%  白山保险集团, 保险, 再保险, 财产保险, 意外保险
Technology               CPAY.++        :   2.49%  支付解决方案
Consumer_Cyclical        URBN           :   2.48%  服装, 服饰, 家具, 零售, 婚纱, 时尚, 租赁, 连锁, 在线零售
Utilities                EIX.*          :   2.48%  爱迪生国际, 公共事业, 电力, 能源
Technology               FI.*.++        :   2.46%  支付服务, 金融技术, 欺诈保护, 云POS
Technology               NTNX           :   2.45%  云计算, 虚拟化, AI
Healthcare               BNTX           :   2.44%  mRNA, 生物技术, 医疗保健
Industrials              HWM.+          :   2.44%  航空航天, 飞机, 零部件, 紧固系统, 锻造车轮
Basic_Materials          EMN            :   2.44%  特种化学品, 添加剂, 塑料, 纤维
Industrials              RXO.++         :   2.41%  北美, 货运, 运输, 物流, 卡车运输, 供应链, 3PL, XPO分拆, 配送, 第三大
Industrials              BE.*.++        :   2.40%  燃料电池, 固体氧化物, 能源, 清洁能源, 发电, 电力, 美国
Consumer_Cyclical        KTB.++         :   2.40%  服装, 威富分拆, 牛仔裤, Wrangler, Lee, 服饰
Technology               VERX.+         :   2.39%  企业软件, 赋能税务, 云计算, 税务管理
Energy                   WFRD           :   2.38%  石油, 天然气, 陆上钻井
Basic_Materials          STLD.++        :   2.38%  钢铁制造, 金属回收, 钢铁, 特朗普概念, 美国, 金属
Industrials              AER.+          :   2.36%  爱尔兰, 飞机租赁, 发动机租赁, 机队管理, 租赁
Technology               QRVO           :   2.36%  半导体, 射频芯片, 智能手机, 功率放大器, 移动芯片, 苹果, 适用于高端机型, 美国
Utilities                BEP.++         :   2.36%  多伦多, 可再生能源, 发电
Utilities                UGI            :   2.35%  丙烷分销, 第一大, 液化石油气, 美国, 天然气
Technology               FTNT.*.++      :   2.35%  网络安全, 防火墙, Fortinet
Basic_Materials          GOLD.*         :   2.34%  巴里克, 黄金, 贵金属, 铜矿, 全球, 第二大
Financial_Services       QFIN.++        :   2.33%  奇富, 360, 信用, 金融, 贷款, 中国
Financial_Services       UBS.++         :   2.32%  瑞银集团, 瑞士, 银行, 收购瑞士信贷
Financial_Services       SFBS           :   2.30%  金融, 银行, 贷款, 美国
Basic_Materials          MOS.++         :   2.30%  美盛, 化肥, 美国
Industrials              CP             :   2.30%  加拿大, 太平洋铁路, 货物运输, 物流
Industrials              ROK            :   2.29%  工业自动化信息化
Technology               ASAN           :   2.28%  AI软件, 工作流管理平台, 团队协作, 团队管理, 企业软件, SaaS, 人工智能
Energy                   PAGP.++        :   2.27%  原油, 天然气液体, NGL, 能源
Consumer_Defensive       DAR.++         :   2.27%  达令配料, 动物副产品加工, 动物饲料, 饲料, 生物营养素
Consumer_Cyclical        LEA.+          :   2.27%  汽车座椅, 电子系统
Financial_Services       EVR.++         :   2.27%  投资银行, 并购咨询, 重组
Consumer_Cyclical        H              :   2.27%  凯悦酒店, 豪华酒店, 度假村
Consumer_Cyclical        CHH.20         :   2.25%  精选国际, 酒店特许经营, 酒店品牌管理运营
Healthcare               KRYS.19        :   2.25%  皮肤病, 基因疗法
Industrials              CARR.*.++      :   2.24%  暖通空调, 制冷, 安防
Consumer_Defensive       KMB            :   2.24%  金佰利, 健康卫生护理, 纸尿裤, 卫生巾
Utilities                BEPC.++        :   2.24%  可再生能源, 能源
Industrials              AL.++          :   2.22%  航空租赁, 飞机租赁, 飞机
Industrials              LII.++         :   2.22%  暖通空调, 制冷产品, AI, 数据中心, 制冷
Real_Estate              RHP.20         :   2.22%  酒店度假村开发运营, 房地产投资信托
Healthcare               GMAB.++        :   2.21%  生物科技, 癌症, 生物技术, 丹麦, 骨髓瘤
Real_Estate              LAMR.20.++     :   2.20%  户外广告, 数字广告牌, 交通广告, 广告, 广告平台, 广告营销
Financial_Services       ALLY.++        :   2.19%  汽车贷款, 信用卡, 贷款, 汽车金融
Healthcare               BIO            :   2.18%  基因组学, 蛋白质分析, 体外诊断
Technology               SAIC.+         :   2.18%  工程, 系统集成, 信息技术
Energy                   HAL.*          :   2.18%  石油, 哈里伯顿, 天然气, 钻井, 油田服务
Consumer_Defensive       CCEP.++        :   2.17%  瓶装分销, 可口可乐, 欧洲, 大洋洲
Technology               COHR.+         :   2.17%  激光, 光电子设备, 可用于半导体, IDC, 人工智能, AI
Energy                   SLB.*          :   2.16%  斯伦贝谢, 石油, 天然气, 勘探, 开发
Healthcare               HSIC           :   2.14%  医疗保健, 牙科, 兽医, 医疗设备
Consumer_Cyclical        HOG            :   2.14%  哈雷戴维森, 哈雷, 摩托, 利率敏感
Financial_Services       HLNE.+         :   2.13%  私募投资, 资产管理
Energy                   VLO.++         :   2.13%  瓦莱罗能源, 炼油, 柴油
Basic_Materials          AA             :   2.12%  美国铝业, 铝, 金属
Financial_Services       BSBR.+         :   2.12%  桑坦德, 银行, 巴西
Technology               NXPI.+         :   2.11%  荷兰, 恩智浦, 半导体, 汽车芯片, 传统半导体
Industrials              WWD            :   2.10%  控制系统, 能源控制系统, 航空航天, 工业
Technology               NXT.++         :   2.09%  太阳能, 追踪器, 跟踪器, 光伏追踪, 利率敏感
Basic_Materials          NEM.20.*       :   2.08%  金矿, 铜矿, 黄金, 贵金属, 第一大
Consumer_Cyclical        DDS            :   2.08%  迪拉德百货, 百货, 商店, 零售, 美国, 连锁
Technology               PAYC           :   2.08%  云计算, 人力资源管理, 企业软件, 美国
Technology               AVT.++         :   2.07%  电子元器件, 半导体, AI
Consumer_Cyclical        IP.*.++        :   2.07%  纸张, 包装, 林产品, 国际纸业, 纸
Energy                   CRK.18.++      :   2.05%  康斯托克, 天然气, 页岩气, 能源, 美国
Real_Estate              SLG.++         :   2.05%  房地产, 投资信托, 房地产, 曼哈顿办公楼, 商业地产, 美国
Basic_Materials          CRH.*.++       :   2.04%  爱尔兰, 建材
Industrials              WTS            :   2.04%  沃茨水工业, 用水安全, 水质管理, 水资源, 水处理
Financial_Services       CEF            :   2.03%  实物, 黄金, 白银, 贵金属, 信托基金
Basic_Materials          CBT.++         :   2.03%  化学品, 性能材料, 用于轮胎的炭黑, 喷墨着色, 美国
Consumer_Cyclical        GIL.19         :   2.02%  吉尔丹, 服装制造, 加拿大
Financial_Services       CRBG.+         :   2.02%  保险, 资产管理, 退休, 金融, 美国
Financial_Services       PSLV.*         :   2.01%  白银, 实物白银, 信托
Technology               DUOL.++        :   2.01%  多邻国, 在线语言学习, 游戏化软件, 多语种培训, 在线教育
Healthcare               OPCH           :   2.00%  家庭输液服务提供商, 静脉输液, 医疗保健, 护理
Financial_Services       BEN.++         :   2.00%  富兰克林坦普顿投资, 共同基金, ETF, 养老金管理, 投资管理
Energy                   TRGP.20.++     :   1.99%  天然气, 天然气液体NGL, 能源, 北美
Basic_Materials          LYB.++         :   1.98%  荷兰, 塑料, 丙烯, 烯烃, 化工, 化学品, 炼油, 精炼, 溶剂
Healthcare               TEVA.*         :   1.97%  梯瓦制药, 仿制药, 以色列, 溃疡性结肠炎, TL1A
Healthcare               RVMD           :   1.97%  癌症, 分子靶点技术
Technology               CRUS.++        :   1.96%  凌云半导体, 模拟集成电路, 音频芯片, 传统半导体
Technology               ZS             :   1.96%  云安全, 移动安全
Utilities                BIP            :   1.95%  基础设施供应商
Technology               FSLR           :   1.95%  第一太阳能, 太阳能, 光伏, 美国
Industrials              MIDD.18.++     :   1.94%  商业厨房设备, 食品加工设备, 食品加工
Consumer_Cyclical        BKNG.20.+      :   1.93%  Priceline, Agoda, Kayak, 旅游, 订票
Basic_Materials          LIN            :   1.93%  林德, 世界最大工业气体
Technology               LFUS           :   1.93%  力特保险丝, 工业技术, 电路保护, 功率控制, 传感器
Energy                   VNOM           :   1.92%  石油天然气资产收购, 特许权, 石油, 天然气
Industrials              ESAB.20.++     :   1.92%  切割, 焊接, 气体控制
Technology               UMC.*          :   1.92%  联电, 半导体, 晶圆代工, 芯片制造, 台湾
Financial_Services       MFG.++         :   1.92%  瑞穗金融, 日本, 第三大, 银行, 证券, 信托
Energy                   TS.19.+        :   1.92%  石油, 天然气, 管材, 管道, 套管
Financial_Services       HLI            :   1.91%  投资银行, 财务重组, 并购咨询
Technology               NVMI           :   1.90%  以色列, 半导体, 高精度计量解决方案
Energy                   MPC.++         :   1.90%  马拉松, 石油炼制, 管道运输, 柴油
Financial_Services       XP.18.*.++     :   1.90%  巴西, 金融, 资产管理, 保险, 信托
Technology               DAY            :   1.90%  云计算, 人力资源管理平台
Consumer_Cyclical        WH.+           :   1.89%  温德姆酒店集团, 经济型, 度假村, 酒店
Real_Estate              CSGP.18.*.++   :   1.89%  在线房地产服务, 房地产
Financial_Services       UWMC.++        :   1.88%  住房抵押贷款, 金融, 抵押贷款, 银行
Technology               TXN.++         :   1.87%  德州仪器, TI, 传统半导体, 模拟芯片, 芯片, 美国
Industrials              MATX.++        :   1.87%  航运, 海运, 物流, 集装箱, 运输
Financial_Services       ING.+          :   1.87%  荷兰国际集团, 银行, 保险, 资产管理
Financial_Services       ZION.+         :   1.87%  银行, 抵押贷款, 齐昂银行, 美国
Energy                   APA.*.++       :   1.86%  阿帕奇, 石油, 天然气, 勘探开发
Financial_Services       UMBF           :   1.85%  金融, 银行, 投资管理, 区域性
Communication_Services   IPG.*.++       :   1.85%  广告, 营销, 公关
Financial_Services       BPOP.++        :   1.84%  大众银行, 波多黎各, 银行
Consumer_Defensive       FRPT.20        :   1.84%  宠物食品, real food, 宠物, 食品
Industrials              ATI            :   1.83%  专业金属材料, 合金, 不锈钢, 金属
Financial_Services       MC.+           :   1.83%  投资银行, 战略咨询, 财务咨询, 并购, 资本重组, 债务重组, 债务融资, 美国
Technology               WIX.19         :   1.82%  以色列, 云计算, 网站开发
Utilities                EBR.++         :   1.82%  巴西, 电力
Financial_Services       BBVA.++        :   1.82%  西班牙银行, 墨西哥, 第一大, 银行
Technology               YOU            :   1.82%  生物识别, 身份验证, 机场, 体育馆, 演唱会, 云安全, 安全
Industrials              GTLS.++        :   1.81%  工业气体生物制品绝对零度低温储存运输, 低温储存, 低温运输, 储存, 运输
Basic_Materials          WPM            :   1.81%  加拿大, 黄金, 贵金属, 白银, 钯金
Industrials              AZEK.++        :   1.80%  户外建材, 建材, 建筑材料
Consumer_Cyclical        M              :   1.80%  梅西, 百货, 商店, 美国
Basic_Materials          AGI.19         :   1.79%  加拿大, 黄金开采, 墨西哥, 土耳其, 矿场, 贵金属, 黄金
Financial_Services       WF             :   1.79%  韩国, 友利银行
Industrials              EME            :   1.79%  电气, 机械, 从事电气和机械结构以及设施服务
Basic_Materials          PKX            :   1.78%  浦项, 韩国, 钢铁, 钢铁制造, 不锈钢, 特种钢材
Technology               CDNS.18        :   1.78%  芯片设计, 全球三大EDA公司之一, AI, 工业软件
Healthcare               WAT            :   1.77%  沃特世, 分析仪器, 实验室解决方案
Basic_Materials          FNV            :   1.77%  加拿大, 黄金金融
Technology               OLED.20        :   1.77%  OLED技术, 专利, 材料
Industrials              VRT.*          :   1.77%  维谛技术, AI, 数据中心, 液冷散热, 液冷, 收购CoolTerra, 空调
Financial_Services       GS.+           :   1.76%  高盛, 投资银行, 金融服务, 美国
Energy                   XOM.*.++       :   1.76%  埃克森美孚, 石油, 天然气, 第一大, 美国
Healthcare               ABBV.*         :   1.75%  艾伯维, 雅培分拆, 自身免疫性疾病, 阿达木单抗, 修美乐, 注射美容, 医美
